,kernel,c,gamma,precision,accuracy,recall,f1_score,score,Standardize
0,rbf,0.2,0.32,0.7931034482758621,0.7289719626168224,0.5,0.6133333333333334,0.7289719626168224,True
0,rbf,0.2,0.33,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.34,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.35000000000000003,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.36000000000000004,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.37,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.38,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.39,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.4,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.41000000000000003,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.42000000000000004,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.43,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.44,0.7857142857142857,0.719626168224299,0.4782608695652174,0.5945945945945946,0.719626168224299,True
0,rbf,0.2,0.45,0.7777777777777778,0.7102803738317757,0.45652173913043476,0.5753424657534246,0.7102803738317757,True
0,rbf,0.2,0.46,0.7777777777777778,0.7102803738317757,0.45652173913043476,0.5753424657534246,0.7102803738317757,True
0,rbf,0.2,0.47000000000000003,0.7777777777777778,0.7102803738317757,0.45652173913043476,0.5753424657534246,0.7102803738317757,True
0,rbf,0.2,0.48000000000000004,0.7692307692307693,0.7009345794392523,0.43478260869565216,0.5555555555555555,0.7009345794392523,True
0,rbf,0.2,0.49,0.7692307692307693,0.7009345794392523,0.43478260869565216,0.5555555555555555,0.7009345794392523,True
0,rbf,0.2,0.5,0.7692307692307693,0.7009345794392523,0.43478260869565216,0.5555555555555555,0.7009345794392523,True
0,rbf,0.2,0.51,0.7692307692307693,0.7009345794392523,0.43478260869565216,0.5555555555555555,0.7009345794392523,True
0,rbf,0.2,0.52,0.7692307692307693,0.7009345794392523,0.43478260869565216,0.5555555555555555,0.7009345794392523,True
0,rbf,0.2,0.53,0.7692307692307693,0.7009345794392523,0.43478260869565216,0.5555555555555555,0.7009345794392523,True
0,rbf,0.2,0.54,0.8333333333333334,0.719626168224299,0.43478260869565216,0.5714285714285714,0.719626168224299,True
0,rbf,0.2,0.55,0.8333333333333334,0.719626168224299,0.43478260869565216,0.5714285714285714,0.719626168224299,True
0,rbf,0.2,0.56,0.8333333333333334,0.719626168224299,0.43478260869565216,0.5714285714285714,0.719626168224299,True
